symbol	ensembl_gene_id	primary_region	analysis_group	include_primary	include_sensitivity	curation_confidence	pathway_depth_rank	pathway_depth_scaled	is_upstream_core	is_checkpoint_layer	is_downstream_diversification	is_substrate_support	checkpoint_proximity	ost_or_lbo_core_member	er_quality_control_member	catastrophic_potential_prior	branching_role	terminal_modification_role	interface_layer_prior	glycan_output_layer	regulatory_or_trans_layer_candidate	has_paralog_family	paralog_family_name	redundancy_prior	low_specificity_terminal_enzyme	graph_in_degree_primary_reaction	graph_out_degree_primary_reaction	graph_total_degree_primary_reaction	graph_betweenness_primary_reaction	graph_closeness_primary_reaction	graph_component_id_primary_reaction	architecture_version	architecture_notes
PRKCSH	ENSG00000130175	er_quality_control	checkpoint_layer	yes	yes	high	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	1	4	5	0.058838383838383836	0.061317365269461084	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
UGGT1	ENSG00000136731	er_quality_control	checkpoint_layer	yes	yes	high	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	yes	UGGT	moderate	no	3	1	4	0.005858585858585858	0.04807511737089202	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned UGGT paralog-family prior from symbol prefix
UGGT2	ENSG00000102595	er_quality_control	checkpoint_layer	yes	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	yes	UGGT	moderate	no	3	1	4	0.005858585858585858	0.04807511737089202	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; assigned UGGT paralog-family prior from symbol prefix
CANX	ENSG00000283777	er_quality_control	checkpoint_layer	yes	yes	high	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	2	3	5	0.004646464646464647	0.05333333333333333	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
CALR	ENSG00000179218	er_quality_control	checkpoint_layer	yes	yes	high	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	2	3	5	0.004646464646464647	0.05333333333333333	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	
PDIA3	ENSG00000167004	er_quality_control	checkpoint_layer	yes	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	no		low	no	2	2	4	0.0	0.047407407407407405	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check
MAN1B1	ENSG00000177239	er_quality_control	checkpoint_layer	yes	yes	high	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	yes	MAN1	moderate	no	2	6	8	0.10333333333333333	0.05556122448979592	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	assigned MAN1 paralog-family prior from symbol prefix
EDEM1	ENSG00000134109	er_quality_control	checkpoint_layer	yes	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	yes	EDEM	moderate	no	1	0	1	0.0	0.0502608695652174	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; assigned EDEM paralog-family prior from symbol prefix
EDEM2	ENSG00000088298	er_quality_control	checkpoint_layer	yes	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	yes	EDEM	moderate	no	1	0	1	0.0	0.0502608695652174	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; assigned EDEM paralog-family prior from symbol prefix
EDEM3	ENSG00000116406	er_quality_control	checkpoint_layer	yes	yes	medium	4	0.5	no	yes	no	no	direct	no	yes	high	not_branching	no	low	no	no	yes	EDEM	moderate	no	1	0	1	0.0	0.0502608695652174	primary_reaction_component_31	architecture_features_v0.1_2026-06-03	medium-confidence pathway label pending cross-check; assigned EDEM paralog-family prior from symbol prefix
