symbol	match_basis	direct_glycome_match	interface_match	reported_gene_match	mapped_gene_match	study_accession	pubmed_id	first_author	publication_date	disease_trait	mapped_trait	trait_categories	reported_genes	mapped_genes	p_value
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469673	39789286	Loya H	2025-01-09	KEL protein levels	kell blood group glycoprotein measurement	glycome;metabolism		ST6GAL1	5e-195
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90470575	39789286	Loya H	2025-01-09	SEMA7A protein levels	semaphorin-7A measurement	metabolism		ST6GAL1	3e-189
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90315692	38412862	Suhre K	2024-02-20	PLXNB2/SEMA7A protein level ratio	PLXNB2/SEMA7A protein level ratio in blood	metabolism		ST6GAL1	2e-177
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469673	39789286	Loya H	2025-01-09	KEL protein levels	kell blood group glycoprotein measurement	glycome;metabolism		RPL29P9 - ST6GAL1	3e-161
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90470651	39789286	Loya H	2025-01-09	SLAMF7 protein levels	SLAM family member 7 measurement	metabolism		ST6GAL1	1e-125
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90315347	38412862	Suhre K	2024-02-20	LY96/SLAMF7 protein level ratio	LY96/SLAMF7 protein level ratio in blood	metabolism		ST6GAL1	5.9999999999999994e-96
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90468610	39789286	Loya H	2025-01-09	CD22 protein levels	B-cell receptor CD22 level	metabolism		ST6GAL1	1e-87
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		ST6GAL1	3e-87
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90468851	39789286	Loya H	2025-01-09	CR1 protein levels	level of complement receptor type 1 in blood	metabolism		ST6GAL1	3e-79
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90470575	39789286	Loya H	2025-01-09	SEMA7A protein levels	semaphorin-7A measurement	metabolism		ST6GAL1	5.0000000000000004e-77
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469298	39789286	Loya H	2025-01-09	GALNT5 protein levels	level of polypeptide N-acetylgalactosaminyltransferase 5 in blood	metabolism		ST6GAL1	4e-74
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90468199	39789286	Loya H	2025-01-09	ACHE protein levels	level of acetylcholinesterase in blood	metabolism		ST6GAL1	3e-61
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90468851	39789286	Loya H	2025-01-09	CR1 protein levels	level of complement receptor type 1 in blood	metabolism		ST6GAL1	3e-50
